ID,smiles
DB0187,O=C(O)CCCc1cccs1
DB0188,O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccc2c(c1)OCO2)C(=O)O
DB0189,CCNC(=S)Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1
DB0190,CC(C)C1=NCCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21
DB0191,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2Cl)cc1
DB0192,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(OC4CCCC4)c3[O-])nc2c1
DB0193,N[C@H]1N[C@@H](N)[C@@H]2C[C@@H](CN3CC[C@H]4CCCC[C@@H]43)CC[C@@H]2N1
DB0194,Cc1ccnc2c1ccc1c(C)ccnc12
DB0195,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1ccc(O)cc1)c1ccc(O)cc1
DB0196,NC(N)=Nc1nc(-c2ccc(CNc3nc4ccccc4[nH]3)s2)cs1
DB0197,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
DB0198,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
DB0199,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1
DB0200,O=C(NCC(=O)N1[C@@H](c2ccccc2)CC[C@H]1C(=O)O)[C@@H](S)Cc1ccccc1
DB0201,CC(C)[C@@H]1NCCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21
DB0202,CCN(CC)c1ccc2cc(C(=O)N/C=C\N3C(=O)CCC3=O)c(=O)oc2c1
DB0203,CN(C)CCCNC(=O)c1cccc2c(N)c3ccccc3nc12
DB0204,Cc1nc(C)c(-c2ccnc(Nc3ccc(C(F)(F)F)cc3)n2)s1
DB0205,COc1ccc2c(c1)CN(C(=O)CCN1CCC(Cc3ccccc3)CC1)CCS2
DB0206,c1ccc2[nH]cnc2c1
DB0207,CS(=O)(=O)c1ccc(Nc2cc(Cl)nc3ccnn23)cc1
DB0208,N=C(N)c1ccc2nc(-c3ncccc3O)[nH]c2c1
DB0209,Nc1nccc(-c2cc(Cl)sc2Cl)n1
DB0210,C1CCN(C2CCNCC2)CC1
DB0211,Cc1c(C(=O)c2nccn2C)oc2cccc(OCCCNCc3cccnc3)c12
DB0212,N=C(N)c1ccc2cc(C(=O)Nc3ccc(CN)cc3)cc(Nc3ncccn3)c2c1
DB0213,Cc1ccc(NNC(=O)[C@@H](O)[C@H](N)CC2CCCCC2)cc1
DB0214,O=Cc1ccccc1O[P@@](=O)(O)OCC1CCCCC1
DB0215,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(OC4CCCC4)c3[O-])cc2c1
DB0216,Nc1nc2[nH]n(-c3cccc(C(=O)NCc4ccccc4Sc4ccccc4CO)c3)nc-2c(=O)n1
DB0217,NC(N)=NCCC[C@H](NC(=O)C1CCCC1)C(=O)c1nc2ccccc2s1
DB0218,O=C(NC[C@@H](O)N(CCO)C1CCCC1)c1cc2cc(Cl)ccc2[nH]1
DB0219,O=S(=O)(O)CCNC1CCCCC1
DB0220,O=C(CCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1cc(O)c(O)c([N+](=O)[O-])c1
DB0221,CC1=C(CCOP(=O)(O)OP(=O)(O)O)S[C@@]2([C@H](C)O)Nc3nc(C)ncc3CN12
DB0222,[H]/N=C(/C)N1CCC(Oc2ccc3nc(C)n(Cc4ccc5ccc(C(N)=[NH2+])cc5c4)c3c2)CC1
DB0223,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1
DB0224,[H]/N=C(\N)N1CCC[C@H](CC(=O)N[C@@H](Cc2ccc(C#Cc3ccccc3)cc2)C(=O)OC)C1
DB0225,c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1
DB0226,O=C1c2cc3sc(-c4cccc([N+](=O)[O-])c4)cc3n2C(=S)N1CCCN1CCOCC1
DB0227,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)Nc1ccc([N+](=O)[O-])cc1
DB0228,C[C@H]1CCCC[C@@H]1Oc1cccc(-c2nc3cc(C(=N)N)c(F)cc3[nH]2)c1O
DB0229,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
DB0230,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1
DB0231,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
DB0232,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1
DB0233,CCCCCCCCCCNC(=O)NC1CCCCC1
DB0234,NCCNS(=O)(=O)c1ccc(Cl)c2ccncc12
DB0235,O=C(N[C@@H](Cc1ccccc1)C(=O)N1CC(C(=O)O)C1)c1cc2cc(Cl)ccc2[nH]1
DB0236,NC(N)=Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1
DB0237,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB0238,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1
DB0239,O=C(O)CCCn1c2ccccc2c2ccccc21
DB0240,Cc1ccc(NC(=O)c2cccnc2)cc1Nc1nccc(-c2cccnc2)n1
DB0241,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO
DB0242,CN(C)C1=CCC2=C(c3ccc(N4C(=O)C=CC4=O)cc3C(=O)O)c3ccc(N(C)C)cc3OC2=C1
DB0243,Cc1ccc(Nc2nccc(-c3ccnc(N4CCN(CCN)CC4)c3)n2)cc1Cl
DB0244,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
DB0245,COc1ccc(C(=O)N2CCCc3cc(C4=NNC(=O)S[C@@H]4C)ccc32)cc1OC
DB0246,O=C1N2C=C(c3ccc(O)cc3)N[C@@H](CC3CCCC3)C2=N[C@@]1(Cc1ccc(O)cc1)OO
DB0247,O=C(O)C1=CN=C(C(=O)O)CS[C@H]1c1cn2c3c(sc2n1)CCC3
DB0248,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CC2CC2)n1
DB0249,O=C[C@H](CSCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
DB0250,CN1CCN(c2ccc3nc(-c4ccc5[nH]c(-c6ccc(N(C)C)cc6)nc5c4)[nH]c3c2)CC1
DB0251,O=C(O)CCCCc1ccccc1
DB0252,CCC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2
DB0253,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1
DB0254,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O
DB0255,O=C(NCCCc1ccccc1)NC1CCCCC1
DB0256,CC[C@@H](C)c1ccc2cc3c(c(O)c2c1O)C(=O)C[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C3
DB0257,CCCCn1c(Cc2ccc3c(c2)OCO3)nc2c(N)nc(F)nc21
DB0258,NCCCCc1ccccc1
DB0259,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1
DB0260,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1
DB0261,Cc1cccc(C2=C(c3ccc4ncccc4n3)CNN2)n1
DB0262,N[C@@H](CSCC(=O)Nc1cc2cccnc2c2ncccc12)C(=O)O
DB0263,Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1
DB0264,c1ccc2[nH]ccc2c1
DB0265,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
